,seller,ovrall_rating,rating,date,desc,comment
8735,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 06, 2019",User bought PlayStation Network Gift Card 100 PLN PSN POLAND,
8736,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 06, 2019",User bought Nintendo eShop Card 5 USD Nintendo NORTH AMERICA,
8737,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 06, 2019",User bought Nintendo eShop Card 5 USD Nintendo NORTH AMERICA,
8738,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 05, 2019",User bought Google Play Gift Card 10 USD NORTH AMERICA,Works
8739,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 05, 2019",User bought Google Play Gift Card 10 USD NORTH AMERICA,thank you my friend
8740,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 05, 2019",User bought PlayStation Network Gift Card 50 AUD PSN AUSTRALIA,
8741,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 04, 2019",User bought Google Play Gift Card 25 USD NORTH AMERICA,
8742,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 04, 2019",User bought PlayStation Network Gift Card 25 USD PSN UNITED STATES,
8743,Noob_noob,98%Positive feedback|1860,#icon-x,"Jun 03, 2019",User bought PlayStation Network Gift Card 50 USD PSN QATAR,"Please include comment so we know what we are doing wrong. 
Thanks"
8744,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 03, 2019",User bought XBOX Live Gift Card 10 AUD XBOX LIVE Key AUSTRALIA,
8745,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 03, 2019",User bought Google Play Gift Card 25 USD NORTH AMERICA,grasia me funciono
8746,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 02, 2019",User bought PlayStation Network Gift Card 25 USD PSN UNITED STATES,
8747,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 02, 2019",User bought PlayStation Network Gift Card 5 USD PSN UNITED ARAB EMIRATES,
8748,Noob_noob,98%Positive feedback|1860,#icon-negative,"Jun 02, 2019",User bought Google Play Gift Card 10 USD NORTH AMERICA,I cant but anything with this
8749,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 02, 2019",User bought Playstation Plus CARD PSN NORTH AMERICA 30 Days,
8750,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 02, 2019",User bought Batman: Arkham City GOTY Edition Steam Key GLOBAL,"The best site to get games on discount!!! Haven't had a truncation problem yet!!
4c6edd62-9dbd-4249-a7d4-51cefa2655cd"
8751,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 02, 2019",User bought Google Play Gift Card 5 USD NORTH AMERICA,
8752,Noob_noob,98%Positive feedback|1860,#icon-negative,"Jun 01, 2019",User bought Google Play Gift Card 10 USD NORTH AMERICA,Key Not Valid
8753,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 01, 2019",User bought XBOX Live Gift Card 100 TL XBOX LIVE Key TURKEY,
8754,Noob_noob,98%Positive feedback|1860,#icon-positive,"May 31, 2019",User bought Amazon Gift Card 25 GBP Amazon UNITED KINGDOM,
8755,Noob_noob,98%Positive feedback|1860,#icon-positive,"May 30, 2019",User bought PlayStation Network Gift Card 500 ZAR PSN SOUTH AFRICA,
8756,Noob_noob,98%Positive feedback|1860,#icon-positive,"May 30, 2019",User bought PlayStation Network Gift Card 25 USD PSN UNITED STATES,Fast and efficient 
8757,Noob_noob,98%Positive feedback|1860,#icon-positive,"May 29, 2019",User bought PlayStation Network Gift Card 500 ZAR PSN SOUTH AFRICA,
8758,Noob_noob,98%Positive feedback|1860,#icon-positive,"May 29, 2019",User bought Google Play Gift Card 10 USD NORTH AMERICA,Used key I don't recommend
